sourceName,sourceVersion,device,type,unit,creationDate,startDate,endDate,value
" iPhone",,,"StepCount","count",2015-08-18 6:54:21 pm +0000,2015-08-18 6:22:56 pm +0000,2015-08-18 6:26:25 pm +0000,74
" iPhone",,,"StepCount","count",2015-08-18 7:54:03 pm +0000,2015-08-18 6:57:16 pm +0000,2015-08-18 6:59:30 pm +0000,93
" iPhone",,,"StepCount","count",2015-08-18 7:54:03 pm +0000,2015-08-18 7:14:27 pm +0000,2015-08-18 7:18:41 pm +0000,85
" iPhone",,,"StepCount","count",2015-08-18 7:54:03 pm +0000,2015-08-18 7:28:48 pm +0000,2015-08-18 7:33:20 pm +0000,41
" iPhone",,,"StepCount","count",2015-08-18 8:58:31 pm +0000,2015-08-18 7:49:37 pm +0000,2015-08-18 7:51:01 pm +0000,22
" iPhone",,,"StepCount","count",2015-08-18 8:58:31 pm +0000,2015-08-18 7:56:30 pm +0000,2015-08-18 7:56:35 pm +0000,17
11:01:10 pm +0000,2015-08-19 11:05:40 pm +0000,335
" iPhone",,,"StepCount","count",2015-08-20 12:28:38 am +0000,2015-08-19 11:55:14 pm +0000,2015-08-19 11:57:13 pm +0000,100
" iPhone",,,"StepCount","count",2015-08-20 12:28:38 am +0000,2015-08-20 12:02:16 am +0000,2015-08-20 12:07:35 am +0000,158
" iPhone",,,"StepCount","count",2015-08-20 12:28:38 am +0000,2015-08-20 12:07:35 am +0000,2015-08-20 12:12:44 am +0000,31
" iPhone",,,"StepCount","count",2015-08-20 12:28:38 am +0000,2015-08-20 12:12:44 am +0000,2015-08-20 12:16:32 am +0000,42
" iPhone",,,"StepCount","count",2015-08-20 12:28:38 am +0000,2015-08-20 12:16:32 am +0000,2015-08-20 12:21:02 am +0000,70
" iPhone",,,"StepCount","count",2015-08-20 12:28:38 am +0000,2015-08-20 12:21:02 am +0000,2015-08-20 12:26:12 am +0000,11
